epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.824,1.62771,1.35123,1.23852,0.74432,0.74121,0.79472,0.42143,1.57747,1.32459,1.31847,0.0670619,0.000332708,0.000332708
2,317.877,1.52405,1.11585,1.19347,0.78232,0.77958,0.82879,0.4599,1.588,1.125,1.31308,0.0340553,0.000659447,0.000659447
3,468.29,1.52227,1.07189,1.19601,0.76777,0.68975,0.76291,0.41857,1.65359,1.42066,1.32951,0.00104213,0.000979587,0.000979587
4,618.198,1.49967,1.04729,1.18623,0.78447,0.79445,0.8432,0.48045,1.49987,1.11286,1.26478,0.0009703,0.0009703,0.0009703
5,769.292,1.48016,1.00287,1.1791,0.817,0.76981,0.84149,0.49271,1.50322,1.071,1.30939,0.0009604,0.0009604,0.0009604
6,918.809,1.4773,0.95973,1.18656,0.79732,0.78175,0.83925,0.45629,1.72894,1.11202,1.42167,0.0009505,0.0009505,0.0009505
7,1068.76,1.46747,0.93763,1.18589,0.82339,0.80349,0.86807,0.52513,1.40572,0.92692,1.25927,0.0009406,0.0009406,0.0009406
8,1218.13,1.45519,0.92401,1.18379,0.81441,0.79156,0.85922,0.49722,1.51429,0.93061,1.31633,0.0009307,0.0009307,0.0009307
9,1367.85,1.44741,0.89813,1.18252,0.83553,0.81356,0.87571,0.52394,1.45006,0.87282,1.27483,0.0009208,0.0009208,0.0009208
10,1520.51,1.43731,0.88227,1.18254,0.81598,0.78874,0.85374,0.47963,1.61354,0.9831,1.36048,0.0009109,0.0009109,0.0009109
11,1670.33,1.43482,0.86477,1.18466,0.82196,0.81617,0.87425,0.52529,1.42503,0.87653,1.28168,0.000901,0.000901,0.000901
12,1819.47,1.42918,0.85493,1.18891,0.83597,0.8165,0.87596,0.51903,1.52536,0.8755,1.33348,0.0008911,0.0008911,0.0008911
13,1968.38,1.42464,0.8507,1.18839,0.8314,0.81094,0.87414,0.52974,1.41946,0.87674,1.28568,0.0008812,0.0008812,0.0008812
14,2117.64,1.41422,0.83981,1.18261,0.85273,0.81587,0.8845,0.54059,1.42583,0.80846,1.29805,0.0008713,0.0008713,0.0008713
15,2271.56,1.41372,0.83001,1.18315,0.83496,0.82761,0.886,0.53907,1.38885,0.79844,1.27984,0.0008614,0.0008614,0.0008614
16,2420.65,1.40311,0.8299,1.18413,0.82866,0.81596,0.87931,0.53119,1.41994,0.82854,1.30027,0.0008515,0.0008515,0.0008515
17,2570.28,1.41211,0.82581,1.18591,0.83784,0.81619,0.87978,0.53407,1.45025,0.83015,1.3096,0.0008416,0.0008416,0.0008416
18,2719.42,1.39976,0.80911,1.18332,0.83343,0.82813,0.88758,0.54285,1.43115,0.78989,1.3049,0.0008317,0.0008317,0.0008317
19,2868.57,1.40267,0.80569,1.18992,0.84883,0.82746,0.88807,0.55286,1.37139,0.77095,1.28864,0.0008218,0.0008218,0.0008218
20,3023.32,1.39853,0.80547,1.1909,0.84859,0.82861,0.88894,0.54429,1.4164,0.77092,1.30477,0.0008119,0.0008119,0.0008119
21,3172.72,1.38308,0.7908,1.18063,0.85309,0.8219,0.88819,0.54848,1.4082,0.78295,1.31066,0.000802,0.000802,0.000802
22,3321.51,1.38955,0.79078,1.18604,0.8411,0.83249,0.8904,0.55133,1.38502,0.76358,1.29455,0.0007921,0.0007921,0.0007921
23,3470.73,1.38754,0.7895,1.18575,0.84811,0.83331,0.89302,0.55054,1.40218,0.73765,1.30826,0.0007822,0.0007822,0.0007822
24,3620.16,1.3845,0.78692,1.18445,0.84469,0.83458,0.89245,0.54748,1.43718,0.7495,1.32125,0.0007723,0.0007723,0.0007723
25,3776.31,1.37862,0.78008,1.19048,0.84886,0.83796,0.89423,0.56094,1.36061,0.73615,1.2865,0.0007624,0.0007624,0.0007624
26,3925.59,1.37365,0.77084,1.18669,0.86056,0.83756,0.89849,0.55403,1.40322,0.72619,1.30583,0.0007525,0.0007525,0.0007525
27,4074.86,1.36768,0.76972,1.18409,0.85545,0.84274,0.89909,0.56842,1.34531,0.72369,1.27794,0.0007426,0.0007426,0.0007426
28,4224.15,1.36943,0.76571,1.18937,0.85093,0.84088,0.89536,0.56172,1.36551,0.73557,1.29286,0.0007327,0.0007327,0.0007327
29,4373.14,1.375,0.76565,1.19116,0.85585,0.83579,0.89593,0.56409,1.35869,0.73663,1.28887,0.0007228,0.0007228,0.0007228
30,4531.62,1.36525,0.76421,1.18325,0.85999,0.84403,0.9009,0.56815,1.34937,0.71928,1.27759,0.0007129,0.0007129,0.0007129
31,4680.92,1.35316,0.75335,1.18149,0.85243,0.84389,0.89873,0.56619,1.36656,0.70904,1.29192,0.000703,0.000703,0.000703
32,4829.86,1.36099,0.75192,1.18593,0.86005,0.84597,0.90187,0.57372,1.33843,0.70319,1.277,0.0006931,0.0006931,0.0006931
33,4979.15,1.3562,0.75227,1.18421,0.85551,0.8474,0.90084,0.56937,1.35014,0.7032,1.28016,0.0006832,0.0006832,0.0006832
34,5128.39,1.34919,0.74583,1.1838,0.85081,0.84334,0.89851,0.56092,1.38536,0.71806,1.29873,0.0006733,0.0006733,0.0006733
35,5287.92,1.35115,0.74437,1.18273,0.85768,0.84441,0.90061,0.57224,1.33875,0.69887,1.28249,0.0006634,0.0006634,0.0006634
36,5436.76,1.34765,0.74356,1.18317,0.85214,0.84801,0.90062,0.57083,1.34869,0.69874,1.28716,0.0006535,0.0006535,0.0006535
37,5586.2,1.34818,0.74108,1.18303,0.85016,0.84502,0.9016,0.57157,1.34354,0.70058,1.27943,0.0006436,0.0006436,0.0006436
38,5735.34,1.33634,0.73402,1.17691,0.8569,0.85252,0.90467,0.5758,1.3336,0.68811,1.27813,0.0006337,0.0006337,0.0006337
39,5884.68,1.34572,0.73724,1.17915,0.86322,0.84621,0.90286,0.57501,1.3343,0.69185,1.27655,0.0006238,0.0006238,0.0006238
40,6045.03,1.33453,0.72964,1.17717,0.85339,0.85102,0.90374,0.57466,1.33742,0.69077,1.28183,0.0006139,0.0006139,0.0006139
41,6194.46,1.33292,0.73114,1.17379,0.85641,0.85049,0.90306,0.57476,1.33587,0.68317,1.28198,0.000604,0.000604,0.000604
42,6343.37,1.32433,0.72611,1.17628,0.85551,0.85205,0.90428,0.57624,1.33394,0.68351,1.27766,0.0005941,0.0005941,0.0005941
43,6492.54,1.33067,0.72752,1.17714,0.86174,0.84968,0.90527,0.57842,1.32462,0.68064,1.27499,0.0005842,0.0005842,0.0005842
44,6641.89,1.32624,0.72244,1.17354,0.86988,0.84653,0.90716,0.58134,1.32213,0.67011,1.27514,0.0005743,0.0005743,0.0005743
45,6805.87,1.32076,0.71835,1.1782,0.85999,0.85473,0.90601,0.58067,1.32407,0.67255,1.27706,0.0005644,0.0005644,0.0005644
46,6955.51,1.32223,0.71756,1.17365,0.86735,0.84879,0.90703,0.58158,1.32315,0.67196,1.27448,0.0005545,0.0005545,0.0005545
47,7104.68,1.31196,0.71131,1.17174,0.86572,0.85062,0.9062,0.57873,1.32807,0.67774,1.27688,0.0005446,0.0005446,0.0005446
48,7253.77,1.32292,0.71484,1.17473,0.85744,0.85653,0.90663,0.58141,1.32786,0.66913,1.27948,0.0005347,0.0005347,0.0005347
49,7402.77,1.3125,0.71297,1.16927,0.86276,0.85079,0.90653,0.58024,1.32833,0.67449,1.27774,0.0005248,0.0005248,0.0005248
50,7567.76,1.30931,0.71149,1.16718,0.86418,0.84952,0.90714,0.58403,1.3214,0.66728,1.27544,0.0005149,0.0005149,0.0005149
51,7717.25,1.31147,0.71242,1.16923,0.86863,0.84513,0.90637,0.58499,1.31133,0.66971,1.26842,0.000505,0.000505,0.000505
52,7866.73,1.30324,0.70755,1.16409,0.86229,0.85266,0.90705,0.58392,1.31836,0.66602,1.27327,0.0004951,0.0004951,0.0004951
53,8015.42,1.30243,0.70693,1.17029,0.8633,0.85415,0.9078,0.58319,1.32063,0.6624,1.27331,0.0004852,0.0004852,0.0004852
54,8164.32,1.30361,0.70794,1.16762,0.86979,0.84808,0.90774,0.58496,1.31323,0.66555,1.26991,0.0004753,0.0004753,0.0004753
55,8328.97,1.29666,0.70212,1.16336,0.86436,0.85336,0.90821,0.58435,1.31984,0.66384,1.27342,0.0004654,0.0004654,0.0004654
56,8478.5,1.3056,0.70448,1.16805,0.86522,0.84863,0.90687,0.58603,1.31065,0.66407,1.26913,0.0004555,0.0004555,0.0004555
57,8627.55,1.30251,0.69992,1.17137,0.8587,0.8563,0.90764,0.58604,1.31268,0.66226,1.27226,0.0004456,0.0004456,0.0004456
